cycle,time,cost,violation,msg_count,msg_size,status
1,0.0800424320041202,4936,0,0,0,RUNNING
2,0.17125218798173591,3850,0,384,384,RUNNING
3,0.23616655002115294,2997,0,768,768,RUNNING
4,0.2979296710109338,2744,0,1152,1152,RUNNING
5,0.38518689200282097,2519,0,1536,1536,RUNNING
6,0.48015582299558446,2249,0,1920,1920,RUNNING
7,0.5741931750089861,1939,0,2304,2304,RUNNING
8,0.63183016696712,1939,0,2688,2688,RUNNING
9,0.7111546109663323,1939,0,3072,3072,RUNNING
10,0.7610187620157376,1881,0,3456,3456,RUNNING
11,0.8710270429728553,1880,0,3840,3840,RUNNING
12,0.9526842439663596,1849,0,4224,4224,RUNNING
13,0.9997663049725816,1837,0,4608,4608,RUNNING
14,1.070137080969289,1837,0,4992,4992,RUNNING
15,1.138517626968678,1837,0,5376,5376,RUNNING
16,1.2103600609698333,1837,0,5760,5760,RUNNING
17,1.3022638179827482,1837,0,6144,6144,RUNNING
18,1.3768550159875304,1837,0,6528,6528,RUNNING
19,1.4723851960152388,1837,0,6912,6912,RUNNING
20,1.5413013640209101,1837,0,7296,7296,RUNNING
21,1.5787796700024046,1837,0,7763,7763,FINISHED
